student_id,attendance_rate,avg_marks,failed_subjects,fee_delay_days,guardian_income,disciplinary_actions,previous_dropout_risk,dropout
77,86.28,54.98,0,15,23210,4,1,0
78,44.44,74.18,1,79,25922,3,1,1
79,61.51,44.19,4,42,51289,0,0,1
80,46.95,91.75,4,76,48340,3,1,1
81,91.79,81.11,1,6,54850,2,1,0
82,77.4,35.81,5,50,71984,2,1,1
83,59.85,57.14,0,72,99178,3,1,1
84,43.81,87.14,1,31,26094,2,1,1
85,58.66,91.41,1,74,48418,1,1,0
86,59.51,60.38,1,7,20741,1,0,0
87,83.78,69.87,2,86,87374,2,1,1
88,78.25,40.86,4,88,83798,2,1,1
89,93.23,94.43,5,71,85532,1,0,0
90,68.33,45.06,3,44,37164,2,0,1
91,47.18,91.28,5,85,50595,2,1,1
92,82.79,72.23,3,58,45257,3,0,0
93,85.65,69.5,2,3,29211,0,1,0
94,73.68,63.32,1,66,20232,1,1,1
95,86.26,44.99,2,28,82753,3,0,0
96,69.63,41.47,2,28,67691,0,1,1
97,71.36,44.33,0,27,94768,2,1,1
98,65.65,42.12,4,76,40613,2,0,1
99,41.53,80.67,3,78,29026,3,0,1
100,46.47,52.76,1,86,68535,2,0,1
101,41.89,33.76,3,43,45908,4,0,1
102,78.18,92.99,5,89,67113,3,1,1
103,58.86,87.45,3,3,34610,0,0,0
104,70.51,90.3,5,89,61646,3,0,1
105,94.45,94.67,4,8,78185,1,0,0
106,54.96,41.3,5,4,87567,3,0,1
107,64.62,55.76,3,55,62574,2,0,1
108,85.33,79.29,3,83,51182,2,1,1
109,53.73,75.24,5,49,15570,4,0,1
110,44.62,40.0,2,74,34288,4,1,1
111,57.39,83.03,4,14,93824,4,0,1
112,49.67,44.59,0,31,44877,0,0,0
113,95.78,44.55,1,27,99425,4,0,0
114,88.49,64.9,3,21,15917,0,0,0
115,78.0,68.54,1,16,90602,4,0,0
116,92.29,67.71,0,58,79575,0,0,0
117,88.22,35.95,1,89,87518,3,0,0
118,51.19,87.03,0,70,54104,3,0,0
119,93.55,47.26,5,56,33062,2,1,1
120,72.36,38.42,2,25,31999,0,0,0
121,88.45,87.77,3,24,76845,1,1,0
122,93.77,92.12,0,9,24941,2,0,0
123,59.08,86.04,1,44,76169,3,1,1
124,46.6,82.62,3,82,38470,0,0,0
125,53.68,72.59,2,10,74821,4,0,0
126,65.63,65.81,5,76,59435,1,0,1
127,89.08,35.65,3,52,19529,3,1,1
128,91.64,56.55,0,71,98055,2,1,0
129,40.42,54.22,2,67,27192,0,1,1
130,70.64,46.88,1,27,89102,1,1,1
131,65.04,77.02,2,74,87762,0,0,0
132,53.33,62.23,2,64,49087,4,0,1
133,47.19,35.27,4,48,81677,2,0,1
134,60.26,44.31,2,46,19627,0,1,1
135,96.57,74.41,2,51,71541,3,0,0
136,59.39,34.95,3,87,83226,2,1,1
137,71.13,85.33,1,53,18255,3,1,1
138,82.18,62.18,3,59,72433,0,1,1
139,61.82,61.24,3,56,20213,2,1,1
140,98.31,68.51,0,46,34404,3,1,0
141,97.75,83.6,3,30,40380,4,0,0
142,55.11,52.61,4,45,34173,4,1,1
143,69.83,74.07,4,25,68027,0,1,1
144,58.05,66.77,0,4,38989,2,0,0
145,57.09,47.36,5,83,39519,1,1,1
146,42.21,87.11,1,51,37439,2,1,1
147,76.57,81.83,1,74,91949,4,0,0
148,70.16,72.8,3,53,29995,3,0,1
149,43.09,85.29,3,32,38559,1,0,0
150,56.72,86.37,5,49,20021,0,1,1
151,94.5,76.04,3,37,36119,1,0,0
152,54.37,84.41,1,26,66539,0,0,0
153,48.69,75.34,2,14,54350,1,0,0
154,69.37,74.21,4,60,61223,0,1,1
155,99.14,70.21,2,20,40517,0,0,0
156,54.52,78.93,2,45,93653,1,1,1
157,80.33,40.31,1,68,37250,1,1,1
158,85.7,87.26,2,5,99486,0,0,0
159,54.26,86.67,5,37,97895,4,1,1
160,83.69,31.9,0,61,81798,1,1,1
161,62.07,83.68,3,85,69199,2,0,0
162,77.94,38.38,0,61,74546,3,1,1
163,78.01,51.78,4,81,18327,0,0,1
164,72.15,78.33,3,77,44768,0,1,1
165,45.42,40.45,2,73,79418,3,1,1
166,90.12,83.17,4,45,57788,4,0,0
167,59.25,84.09,3,12,97384,3,0,0
168,51.19,62.99,5,2,61830,1,1,1
169,42.45,30.42,5,5,67446,3,1,1
170,75.45,48.66,5,7,30160,0,0,1
171,80.65,70.1,5,43,71583,3,1,1
172,41.0,93.78,2,32,48998,2,1,1
173,70.73,71.07,0,80,42230,1,1,0
174,53.59,46.89,3,74,24076,3,1,1
175,78.71,71.21,2,76,84341,0,0,0
176,50.46,65.1,5,49,46085,1,0,1
177,81.46,80.69,0,10,70571,0,0,0
178,63.2,36.95,4,27,29715,4,0,1
179,96.2,79.47,4,69,20750,2,0,0
180,48.25,65.18,4,40,93768,4,0,1
181,60.46,92.59,5,15,50903,2,1,1
182,46.81,52.22,4,67,87489,3,0,1
183,95.48,71.12,1,47,47093,1,1,0
184,92.64,90.58,3,55,49314,3,1,1
185,55.48,36.66,3,63,63225,2,1,1
186,79.6,90.92,5,58,98014,2,0,1
187,89.03,74.71,1,89,50179,2,1,0
188,73.31,34.41,2,61,40338,0,0,0
189,71.78,49.56,2,75,84681,1,1,1
190,54.51,76.03,4,10,47101,3,1,1
191,45.59,34.38,0,88,17775,3,0,1
192,93.83,67.84,2,17,60619,4,1,1
193,94.03,52.48,0,18,60838,2,1,0
194,77.99,70.36,3,86,34539,2,1,1
195,60.34,32.97,0,54,72124,2,1,1
196,60.95,86.65,3,81,80149,3,0,1
197,83.56,93.28,1,25,41616,4,1,0
198,93.83,92.98,1,5,94655,0,1,0
199,93.23,78.73,5,3,69567,1,0,0
200,86.79,38.46,5,28,52099,0,1,1
201,78.52,79.29,4,58,90831,3,1,1
202,45.05,31.6,2,16,76799,2,1,1
203,49.7,31.44,4,42,40479,1,1,1
204,93.91,51.03,3,79,61172,3,0,1
205,76.39,61.76,4,65,70863,3,1,1
206,40.55,80.08,0,33,57043,3,0,0
207,46.09,74.41,3,7,97569,1,1,1
208,79.81,58.98,5,12,30408,1,1,1
209,40.3,47.79,1,7,72980,4,1,1
210,49.65,94.81,5,64,97956,4,0,1
211,72.92,57.7,2,42,31351,0,1,1
212,81.51,59.34,3,38,19131,1,1,1
213,79.12,40.64,3,80,59825,1,0,1
214,53.46,81.66,0,58,26349,1,0,0
215,82.73,75.09,2,83,75931,4,0,0
216,54.23,44.35,1,87,59254,3,0,1
217,59.52,35.35,3,85,53225,2,1,1
218,84.79,74.23,3,85,27453,4,1,1
219,78.98,72.54,0,43,33814,1,1,0
220,90.95,47.76,4,8,33263,4,1,1
221,79.46,91.81,1,36,92694,0,0,0
222,74.1,39.82,5,73,30735,1,1,1
223,45.62,58.1,2,35,30830,0,1,1
224,62.06,91.34,3,27,62893,1,1,1
225,55.91,57.28,3,41,59673,4,1,1
226,54.64,71.5,5,42,60066,3,0,1
227,98.38,55.84,1,84,18373,2,1,1
228,63.59,47.82,4,87,25335,0,1,1
229,93.52,93.96,3,41,38741,4,1,1
230,77.87,56.61,1,65,25692,3,0,0
231,87.69,88.12,5,54,62295,4,0,1
232,70.16,44.95,0,71,60541,0,1,0
233,74.61,43.85,4,47,49057,2,1,1
234,69.55,32.02,2,90,81983,4,1,1
235,51.71,72.36,3,21,34583,1,0,0
236,83.35,53.95,1,26,37765,3,1,1
237,56.85,86.18,0,66,74287,4,1,1
238,41.46,60.76,2,12,38906,3,1,1
239,78.73,92.93,1,44,94675,1,0,0
240,50.63,42.06,1,9,61525,2,1,1
241,96.43,86.46,2,8,53230,2,1,0
242,97.24,80.48,0,53,34520,1,0,0
243,94.89,80.11,5,26,66934,3,0,0
244,62.21,84.91,0,33,40566,4,1,1
245,40.93,79.47,4,0,88193,1,0,1
246,95.7,70.7,3,31,45134,0,1,0
247,65.69,38.53,2,88,25345,3,0,1
248,98.0,32.11,5,70,56185,2,0,1
249,97.82,89.86,2,66,85744,1,1,0
250,91.18,70.08,2,83,48455,2,1,1
251,57.67,81.77,0,19,43018,3,1,0
252,63.11,61.3,3,34,69219,2,0,1
253,91.07,37.63,4,90,60991,1,1,1
254,59.02,38.14,1,89,88616,3,1,1
255,50.17,74.56,1,77,24486,0,1,1
256,73.41,57.97,2,16,53862,1,1,1
257,96.17,43.03,3,17,73870,4,1,1
258,81.76,61.95,5,44,58856,1,0,1
259,74.2,34.17,0,83,46379,3,1,1
260,45.83,67.83,3,52,79729,1,1,1
261,76.9,47.48,3,90,43378,0,0,0
262,99.4,81.84,0,81,69353,0,1,0
263,48.41,50.17,2,67,64996,4,1,1
264,71.1,59.59,3,64,29031,2,1,1
265,92.64,30.76,1,0,95072,3,1,1
266,84.45,34.71,0,57,80982,3,1,1
267,81.82,55.51,5,25,51683,2,0,1
268,82.15,61.2,4,19,32618,0,0,0
269,61.57,69.0,2,86,21587,0,0,0
270,57.62,48.96,0,9,77790,1,1,0
271,88.56,75.17,4,58,46480,4,0,1
272,88.61,85.91,4,74,35527,4,1,1
273,92.02,80.69,5,40,38569,4,1,1
274,94.79,32.58,3,4,26151,1,1,1
275,70.68,61.23,5,64,86094,4,0,1
276,70.09,36.82,3,16,74174,2,0,1
277,87.9,45.73,3,21,59739,1,0,0
278,79.0,94.13,0,40,47954,2,1,0
279,82.12,39.26,0,67,50303,1,0,0
280,87.75,62.43,2,68,49700,4,1,1
281,93.4,70.18,3,10,82568,2,0,0
282,60.28,75.66,4,55,81788,2,0,1
283,62.53,66.38,1,50,86045,2,1,1
284,45.64,30.64,2,20,52842,1,1,1
285,74.7,51.22,0,75,28900,3,0,0
286,42.16,63.65,5,25,95059,4,0,1
287,67.94,35.71,2,18,16881,2,0,0
288,72.56,52.79,2,59,48037,3,1,1
289,57.19,32.16,2,70,16630,4,1,1
290,75.45,35.11,2,46,35789,4,0,1
291,41.83,55.8,1,70,98494,2,0,1
292,42.24,38.63,5,25,61151,2,1,1
293,89.36,66.89,5,39,63920,1,0,0
294,61.61,74.82,5,4,82231,3,1,1
295,47.62,82.04,3,20,95357,3,1,1
296,71.33,43.01,4,77,18262,2,1,1
297,86.2,40.89,5,3,81981,4,1,1
298,52.95,36.8,2,22,96972,2,1,1
299,77.37,71.37,2,83,90485,4,1,1
300,45.12,75.92,5,14,69722,4,0,1
301,43.1,32.05,5,7,65818,2,1,1
302,71.88,90.85,2,40,44932,0,1,0
303,72.44,33.38,3,18,21901,3,0,1
304,78.25,65.18,0,45,23597,4,1,1
305,83.57,76.09,0,27,78909,4,0,0
306,98.55,86.61,5,90,87391,0,1,1
307,70.98,76.42,1,67,99214,1,0,0
308,59.38,82.11,5,14,23263,0,0,0
309,87.71,52.06,5,36,78293,0,1,1
310,56.25,82.96,0,0,40805,4,1,0
311,66.34,35.21,2,66,26874,3,1,1
312,44.71,88.16,5,23,29079,0,1,1
313,41.52,65.59,2,26,64850,1,0,0
314,97.76,83.12,2,39,87779,2,0,0
315,90.16,59.4,1,62,24018,0,0,0
316,81.76,71.83,2,60,64500,0,1,0
317,64.54,64.22,0,35,27100,1,0,0
318,50.4,77.55,3,23,72021,3,1,1
319,49.39,35.31,3,23,34800,0,1,1
320,55.01,33.92,4,3,78400,0,0,1
321,72.95,46.06,5,66,44437,3,1,1
322,82.88,40.37,0,33,91537,1,0,0
323,79.61,86.67,2,56,61675,0,1,0
324,56.8,44.25,3,48,34942,3,0,1
325,97.29,93.43,0,86,35862,0,1,0
326,84.27,51.9,3,52,26669,2,0,0
327,73.26,41.84,2,22,68772,4,0,1
328,76.7,81.33,3,68,30916,2,1,1
329,65.18,72.82,5,52,25878,0,1,1
330,54.86,62.38,5,61,17985,1,0,1
331,61.36,66.1,4,40,88648,4,1,1
332,85.47,76.75,4,56,56235,2,1,1
333,40.86,44.85,3,59,33931,3,1,1
334,46.96,94.76,0,53,15336,1,0,0
335,42.76,93.36,5,69,57933,2,0,1
336,42.44,72.27,0,56,99899,3,1,1
337,91.33,42.97,0,9,60536,0,1,0
338,82.22,74.21,3,39,84504,3,0,0
339,68.45,34.69,0,6,66148,2,1,1
340,45.87,31.99,5,37,31279,2,0,1
341,69.5,46.75,2,84,83665,0,1,1
342,68.41,60.07,4,60,86386,3,1,1
343,50.39,86.44,2,83,92485,3,1,1
344,66.03,77.27,0,2,89055,0,0,0
345,63.91,78.28,2,50,92273,3,0,0
346,76.95,57.66,5,85,81670,0,0,1
347,78.11,52.49,5,46,91474,1,0,1
348,42.72,54.12,0,67,69028,2,1,1
349,62.48,94.2,3,75,86128,1,1,1
350,77.55,32.61,2,37,33108,4,0,1
351,70.19,86.36,3,35,67495,4,1,1
352,91.39,67.61,3,40,97806,4,1,1
353,79.52,58.51,1,68,91533,0,0,0
354,49.78,77.14,0,12,71830,3,1,1
355,44.23,61.63,4,86,89640,1,1,1
356,78.55,86.77,5,57,67509,1,0,0
357,41.59,88.55,5,49,81406,1,1,1
358,75.15,57.41,0,29,54519,1,1,0
359,96.41,47.99,4,61,64649,4,1,1
360,74.53,68.5,5,24,49524,1,0,1
361,63.29,89.3,0,26,48885,3,0,0
362,78.6,43.69,5,50,59369,4,1,1
363,67.5,70.49,3,77,45676,1,1,1
364,72.74,71.05,2,56,79093,0,1,1
365,96.49,77.65,2,46,62764,2,0,0
366,63.17,38.55,5,38,65799,2,0,1
367,97.67,76.53,1,15,94414,2,0,0
368,94.32,89.09,4,21,87307,4,1,1
369,51.75,41.68,4,84,97062,1,1,1
370,44.16,45.44,4,53,46923,4,1,1
371,46.05,93.14,3,20,93388,3,1,1
372,41.09,41.76,4,71,62574,0,1,1
373,45.67,85.54,2,15,58391,0,0,0
374,80.98,62.0,3,58,68664,2,1,1
375,44.27,46.07,0,30,82384,2,1,1
376,59.14,86.6,4,41,46027,2,1,1
377,90.69,58.94,4,73,50464,1,0,0
378,41.4,63.46,0,31,49485,3,1,1
379,88.87,53.35,4,58,34456,3,0,1
380,56.91,68.54,0,33,89795,3,0,0
381,47.09,40.63,3,8,50554,3,0,1
382,81.8,55.42,2,80,61922,2,0,0
383,77.74,93.01,0,10,28409,0,0,0
384,92.65,46.78,1,9,84327,2,1,0
385,84.1,72.69,0,85,51639,3,1,0
386,88.21,51.14,4,16,78627,2,0,0
387,56.92,80.28,3,67,98424,3,0,1
388,50.65,38.51,5,47,34692,4,0,1
389,85.04,93.04,3,51,93840,0,1,0
390,88.41,59.5,5,24,69200,4,1,1
391,99.43,45.34,0,20,72415,1,0,0
392,64.76,34.78,2,64,33074,2,1,1
393,62.32,41.03,1,62,30549,1,1,1
394,86.58,63.79,3,88,44963,2,0,0
395,60.45,51.91,4,50,67265,4,0,1
396,95.85,83.88,5,35,31061,3,1,1
397,91.5,58.01,4,80,73226,3,1,1
398,65.74,46.17,2,87,43810,2,1,1
399,85.05,70.11,5,65,75006,3,0,1
400,85.27,75.94,3,14,37800,4,0,0
401,46.19,40.86,0,38,90476,3,0,0
402,94.15,40.9,4,69,84460,4,1,1
403,70.32,32.38,2,0,72767,1,1,1
404,89.59,77.87,3,22,43054,4,0,0
405,59.2,73.15,3,38,90319,0,1,1
406,93.73,60.85,3,56,60397,0,0,0
407,63.35,84.87,3,80,28233,0,1,1
408,40.65,82.37,5,33,40068,2,0,1
409,94.32,68.05,3,40,80727,2,1,1
410,45.48,86.44,4,72,85453,2,1,1
411,59.16,43.38,2,12,40832,4,0,1
412,97.0,37.27,5,69,28682,2,0,1
413,97.04,47.53,3,5,38383,1,0,0
414,74.41,33.71,1,83,73160,0,0,0
415,77.91,64.53,1,51,38666,4,0,0
416,66.91,90.88,2,2,73817,0,1,0
417,57.59,32.56,0,80,49642,2,0,0
418,59.72,37.94,0,62,56830,4,0,1
419,80.35,59.39,5,48,25234,3,0,1
420,85.14,90.7,5,75,72616,1,0,0
421,87.49,50.55,5,46,24221,2,0,1
422,87.38,62.97,0,54,26410,2,1,0
423,45.47,32.7,1,63,95055,1,0,1
424,69.67,39.64,0,64,76413,1,0,0
425,43.45,94.13,4,80,16051,3,0,1
426,72.97,92.73,3,66,90301,2,1,1
427,66.49,30.32,5,89,91918,2,1,1
428,93.26,91.87,1,14,93116,0,0,0
429,61.05,71.54,2,31,71563,4,0,0
430,47.02,86.41,2,67,59757,4,1,1
431,48.58,59.56,3,17,92475,0,1,1
432,85.69,63.51,1,82,66257,4,1,1
433,77.09,61.78,0,42,15307,1,0,0
434,46.07,73.35,0,34,71889,4,0,0
435,45.05,39.08,4,77,83895,4,1,1
436,82.06,31.95,4,57,50944,0,0,1
437,44.37,50.02,0,32,53134,3,1,1
438,89.31,75.8,2,13,42323,4,1,1
439,82.37,43.12,5,33,86762,4,1,1
440,44.88,73.77,2,60,40954,3,0,1
441,45.09,93.04,4,3,70021,0,1,1
442,99.2,36.1,3,87,94866,3,1,1
443,62.46,73.72,0,58,85427,0,0,0
444,62.24,58.84,4,28,19992,1,1,1
445,88.77,86.43,4,82,16961,0,0,0
446,96.83,41.51,5,5,27497,1,1,1
447,99.16,75.02,0,48,47551,1,0,0
448,85.2,84.48,5,39,91384,0,1,1
449,62.58,91.4,0,82,70755,2,1,0
450,45.01,74.41,5,64,28255,0,1,1
451,86.63,62.32,2,68,19567,4,1,1
452,73.5,70.16,3,26,63847,4,1,1
453,65.45,86.48,3,79,63003,2,0,0
454,94.38,67.09,0,5,35389,1,0,0
455,46.67,31.98,1,12,59523,2,1,1
456,69.56,90.51,4,63,76576,4,1,1
457,40.68,74.82,4,61,58919,2,1,1
458,68.12,73.97,0,18,97103,0,0,0
459,43.38,44.02,5,75,18358,2,0,1
460,47.13,72.83,1,79,91524,1,1,1
461,47.05,55.6,2,42,20698,0,0,0
462,78.95,72.33,5,73,81809,3,1,1
463,84.76,36.93,5,88,70805,4,1,1
464,75.0,72.76,0,19,46349,4,1,0
465,97.73,94.96,0,67,91777,2,0,0
466,62.49,33.13,4,43,65248,0,1,1
467,57.14,93.52,0,22,90033,3,1,0
468,92.12,56.45,0,1,59041,0,1,0
469,53.42,86.6,0,21,46954,4,0,0
470,97.79,80.86,4,56,23002,0,0,0
471,40.73,66.86,2,71,84783,3,0,1
472,98.19,78.0,2,6,34738,2,1,0
473,42.59,87.1,0,77,25703,1,0,0
474,93.47,56.27,4,55,64422,0,1,1
475,71.66,51.26,2,66,98106,1,0,0
476,99.58,73.39,5,15,76899,4,1,1
477,44.43,82.51,2,82,27392,2,0,1
478,73.23,79.55,2,50,59724,2,1,1
479,98.16,81.86,4,81,47299,0,0,0
480,71.39,58.31,5,79,30641,2,0,1
481,77.76,83.16,4,71,94534,0,0,0
482,81.74,37.81,0,11,21305,0,1,0
483,67.27,65.39,3,52,33782,1,0,0
484,77.65,30.37,2,74,93257,2,0,1
485,75.06,51.1,3,4,92963,0,0,0
486,94.07,53.82,4,26,35566,1,0,0
487,42.73,55.75,4,11,82766,3,1,1
488,56.86,75.21,4,16,21511,1,0,0
489,97.02,55.26,3,5,41177,1,1,1
490,93.42,59.17,4,4,19765,0,1,1
491,67.34,45.44,0,56,35354,4,1,1
492,77.21,54.26,4,27,38929,4,1,1
493,56.64,44.77,1,77,43820,4,0,1
494,51.29,34.76,3,68,44523,1,1,1
495,67.82,69.22,1,58,86088,0,1,0
496,61.2,73.43,4,32,81163,2,1,1
497,75.02,70.27,0,61,92525,1,1,0
498,44.66,60.13,2,49,28780,1,0,0
499,98.46,54.69,5,18,21589,0,0,0
500,99.17,86.12,5,85,49812,3,1,1
501,81.89,63.74,4,68,60939,1,1,1
502,72.17,61.15,0,65,66493,3,1,1
503,58.57,31.67,3,46,55953,3,0,1
504,88.83,52.18,1,38,80785,4,0,0
505,81.08,54.71,1,67,34309,0,0,0
506,49.76,55.92,1,32,69195,3,0,0
507,94.66,67.71,3,12,40901,0,0,0
508,89.35,64.68,5,83,38576,4,1,1
509,96.99,69.51,0,53,46508,0,0,0
510,83.54,79.72,3,6,89711,1,0,0
511,76.8,82.84,1,78,40464,3,1,1
512,65.09,76.68,4,86,75281,0,0,0
513,95.96,92.11,2,13,31260,2,0,0
514,91.96,31.19,3,86,50440,0,0,0
515,42.71,42.73,3,18,71683,3,1,1
516,41.58,30.49,0,53,56430,4,0,1
517,62.59,72.09,0,19,16987,4,1,1
518,88.63,88.37,3,28,40105,3,1,1
519,99.24,45.83,1,23,93484,1,0,0
520,49.03,90.26,2,81,28026,1,0,0
521,75.65,33.92,0,62,83309,4,0,0
522,62.85,90.74,1,73,60927,4,0,0
523,98.19,52.86,4,56,90414,3,1,1
524,90.53,36.59,0,7,72535,1,0,0
525,90.3,61.58,1,89,57946,4,1,1
526,68.12,46.69,1,61,71561,1,1,1
527,64.89,48.52,2,28,25377,4,1,1
528,56.4,49.97,2,73,68592,0,1,1
529,43.38,82.2,4,16,22347,2,1,1
530,91.88,65.05,1,65,48776,0,0,0
531,88.77,50.24,5,5,18783,4,1,1
532,99.98,69.67,1,57,70798,2,1,0
533,99.8,76.55,2,68,19298,2,0,0
534,73.33,47.72,5,27,85204,4,0,1
535,86.14,56.88,0,61,70161,4,1,1
536,96.69,37.92,0,40,75652,1,1,0
537,90.98,41.77,3,68,49484,4,0,1
538,54.84,74.27,2,81,35922,3,1,1
539,67.03,41.79,3,89,49028,4,0,1
540,47.75,64.14,5,83,35316,3,0,1
541,97.24,76.09,2,40,91996,4,1,1
542,76.37,36.95,4,48,31968,1,0,1
543,53.72,66.88,1,90,45266,3,1,1
544,80.3,46.68,4,48,39000,0,1,1
545,77.09,92.59,5,75,29011,3,1,1
546,61.49,61.43,2,70,17866,1,0,0
547,46.81,82.39,5,2,20898,3,1,1
548,80.29,65.76,1,9,33395,4,0,0
549,71.22,32.82,0,88,54019,4,1,1
550,86.34,71.15,0,34,19006,1,1,0
551,71.21,91.84,5,79,49393,2,0,1
552,91.13,69.1,3,1,25956,4,1,1
553,73.11,83.25,2,23,65042,0,1,0
554,73.66,87.47,2,73,21078,1,0,0
555,92.6,44.83,0,37,44631,3,0,0
556,64.21,43.78,4,21,77901,3,0,1
557,48.04,69.71,1,25,84497,0,1,1
558,41.73,56.72,4,42,56574,4,0,1
559,85.31,84.59,4,54,46417,1,0,0
560,77.22,88.5,5,38,98639,0,1,1
561,82.24,52.97,0,90,80006,4,0,0
562,52.78,45.4,0,28,54454,1,1,1
563,48.18,80.73,0,19,16587,3,1,1
564,40.87,47.86,5,90,69710,1,0,1
565,61.04,83.47,3,40,90886,2,1,1
566,75.4,57.54,4,53,33816,1,0,1
567,63.53,73.39,5,19,44432,2,0,1
568,66.25,36.21,2,18,63617,1,0,0
569,94.25,70.55,1,83,87373,2,0,0
570,60.9,59.36,3,65,49217,3,1,1
571,70.84,68.13,2,29,35884,4,1,1
572,87.02,40.92,4,52,20454,2,0,1
573,63.79,77.9,0,33,89960,2,0,0
574,77.33,86.08,4,21,58618,3,1,1
575,91.74,44.09,5,66,98948,2,0,1
576,96.97,36.22,1,5,77671,0,1,0
577,48.82,31.54,5,78,62111,3,0,1
578,95.6,71.73,3,26,54613,0,1,0
579,69.53,69.46,3,9,74993,3,1,1
580,55.49,65.54,1,72,23848,2,1,1
581,67.55,45.08,2,47,93672,0,0,0
582,98.8,55.41,2,69,81125,2,0,0
583,69.56,68.64,3,58,76602,3,0,1
584,59.73,62.29,3,58,87045,2,0,1
585,78.0,94.21,0,1,57222,0,0,0
586,54.41,38.87,2,28,64223,0,1,1
587,44.55,75.18,1,67,80333,2,1,1
588,47.73,56.28,2,64,67732,1,1,1
589,47.68,57.83,0,82,64420,3,1,1
590,49.11,76.64,5,25,90504,3,1,1
591,48.33,75.01,3,88,17462,2,1,1
592,78.45,94.43,3,9,24460,1,1,0
593,50.91,38.35,0,52,24275,0,0,0
594,60.74,36.77,1,78,28269,4,1,1
595,93.81,77.08,3,58,80942,4,0,0
596,68.44,67.6,4,21,87920,2,1,1
597,80.05,47.82,3,50,37553,1,1,1
598,50.34,35.16,4,47,39366,1,0,1
599,51.54,35.57,0,20,59036,3,1,1
600,42.45,88.12,0,21,32369,0,0,0
601,50.14,42.47,3,29,26795,1,1,1
602,56.72,51.02,2,24,85021,4,0,1
603,50.62,44.73,4,27,83154,0,1,1
